,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2784,2784,spotify:track:0WyByWmMh3jDWr3B1Bj2Hq,Angelo,Lester Nowhere,40,4927,"('chillhop', 'lo-fi beats')",Angelo,50,0.556,0.374,-11.016,77.998,130024
2785,2785,spotify:track:5w7snuYJzYBSeCwgZPwpME,Red Wine at Dawn,Blackburri,49,126,"('study beats',)",Red Wine at Dawn,52,0.65,0.401,-12.317,86.995,181724
2786,2786,spotify:track:5Q4X6JGfoZM89iGSNGt2XR,Purple & Yellow,Idyllik Beat,43,32,(),Purple & Yellow,57,0.493,0.13,-18.718,79.631,135980
2787,2787,spotify:track:2UCDo9LZZE9IDsDihDIa62,anti-skate,cruzcamra,28,11,(),anti-skate,43,0.52,0.437,-15.987,78.829,143589
2788,2788,spotify:track:4HhZZZAtRufBXnJyPtf7uB,Pearl Dust,florentine,38,16,(),Pearl Dust,53,0.719,0.584,-14.475,159.994,148532
2789,2789,spotify:track:74KyvOZlIKdTdgvAwvFoXr,Temperphone,Madbank,29,39,(),Shalehouse,43,0.486,0.275,-11.104,75.986,167368
2790,2790,spotify:track:4UNI7NvY0ti3jJikm4f4ld,Rain Relaxation,PIÑA PINK,46,45,(),Rain Relaxation,51,0.72,0.422,-14.467,151.982,180197
2791,2791,spotify:track:7D0PbgrpVfUVASPPxn7TRz,C'est La Vie,Caicey,28,398,(),C'est La Vie,42,0.814,0.458,-13.914,75.99,117424
2792,2792,spotify:track:2erTD4TOUuyp9qOpxvjOth,with a view,FREJA,45,78,(),with a view,50,0.48,0.521,-13.518,76.009,139320
2793,2793,spotify:track:28D9EaiySXKtyg37WFQqpT,Veil,Hans Hu$tle,49,394,"('lo-fi jazzhop',)",Veil,50,0.591,0.33,-10.195,84.035,137278
2794,2794,spotify:track:0E2cuECAuRuk34iTMyVwrb,We are nature,Fluurish_ish,40,21,(),We are nature,52,0.441,0.135,-16.369,107.129,167442
2795,2795,spotify:track:2pir3lGD2dNsBjPRCN5Xxt,So Unique,Zho Zho,32,51,(),Indigo Rum,46,0.718,0.0634,-20.546,74.956,159175
2796,2796,spotify:track:5qaQn9EJqXN2oX3wnoahSP,Last Summer,Laffey,65,7351,"('lo-fi beats',)",Last Summer,45,0.624,0.223,-13.917,64.974,149344
2797,2797,spotify:track:0N8xcgJldOu3c7sOM3xo7K,Fade Away,lostoutside,42,55,(),Fade Away,56,0.672,0.142,-14.155,139.904,164500
2798,2798,spotify:track:3UCygC7JAMINFBr2fQL91x,2 unreal,heavy tone,28,12,(),2 unreal,42,0.586,0.357,-11.204,75.508,130314
2799,2799,spotify:track:5Rp86RZTmqiyE78JNt0wWg,crocodileteeth,shapeofbeatz,37,21,(),crocodileteeth,50,0.708,0.0285,-21.717,80.017,156180
2800,2800,spotify:track:7MgqCfXy33YBpunYl1uhMQ,Umbrella Shopping,Duos On Mars,36,35,(),Umbrella Shopping,42,0.673,0.381,-11.961,167.978,141970
2801,2801,spotify:track:3ujm2z1mOalAvVyE0yDLbF,another LOOK,francesco MG,38,19,(),another LOOK,53,0.831,0.253,-10.258,74.961,117901
