,artist_name
1026,Negrito
1027,LE RISQUE
1028,L’As
1029,Elh Kmer
1030,La F
1031,Larsé
1032,Koffi Lossa
1033,Oby One
1034,Tiitof
1035,VVES
1036,Slkrack
1037,26keuss
1038,Lamatrix
1039,Bigor
1040,Rsko
1041,Silke Plattenspieler
1042,Quadie Diesel
1043,Ghostluvme
1044,Cheflodeezy
1045,Jus Stacks
1046,Cold Ca$e
1047,MC Bravado
1048,Jake Strain
1049,M.A.D.S.K.I.L.L.
1050,Razrfish
1051,Nsy Roro
1052,Yc Goodfella
1053,avery j.
1054,Shwaee
1055,Albastard
1056,Bad Meets Evil
1057,Young Leaf
1058,Ciara
1059,MIKA
1060,Nelly
1061,Carpenters
1062,The Bells
1063,Yusuf / Cat Stevens
1064,Blue Mink
1065,Mocedades
1066,The New Seekers
1067,Roger Voudouris
1068,R. Dean Taylor
1069,Marshall Hain
1070,Peters & Lee
1071,Captain & Tennille
1072,The Osmonds
1073,Peter McCann
1074,Seals and Crofts
1075,Pickettywitch
1076,The Fortunes
1077,New World
1078,Kenny Nolan
1079,Racey
1080,Clout
1081,Brotherhood of Man
1082,Bo Donaldson & The Heywoods
1083,The Rubettes
1084,Sailor
1085,Middle Of The Road
1086,The Jacksons
1087,Chicago
1088,Steely Dan
1089,Daryl Hall & John Oates
1090,Styx
1091,Nazareth
1092,Orleans
1093,King Harvest
1094,Henry Gross
1095,Tower Of Power
1096,Rose Royce
1097,Foreigner
1098,Blue Magic
1099,The Persuaders
1100,Gladys Knight & The Pips
1101,England Dan & John Ford Coley
1102,Commodores
1103,The Three Degrees
1104,Dr. Hook
1105,The Stylistics
1106,Peaches & Herb
1107,Starland Vocal Band
1108,Robert John
1109,The Bellamy Brothers
1110,Harold Melvin & The Blue Notes
1111,The Teskey Brothers
1112,Lady Wray
1113,Lawrence
1114,Mōzi
1115,Bruno Major
1116,RuthAnne
1117,Kendra Morris
1118,Delta Maid
1119,Patrick Droney
1120,Katie Pruitt
1121,Anduze
1122,Jordy Searcy
1123,Vanmiran
1124,JNR WILLIAMS
1125,Yola
1126,Ayelle
1127,The Dip
1128,Abraham Alexander
1129,Brooke Sierra
1130,Lake Street Dive
1131,Nina Soro
1132,Jak Lizard
1133,Moss Kena
1134,Charlotte Leigh
1135,UMI
1136,Oscar Blue
1137,Savannah Conley
1138,Dominique Fils-Aimé
1139,Lo Moon
1140,Loren Kramar
1141,Jess Best
1142,Cody Dear
1143,Mayaeni
1144,Jasmine Cephas-Jones
1145,Joey Landreth
1146,Brandon
1147,"Peter, Paul and Mary"
1148,Peter Sarstedt
1149,"Crosby, Stills & Nash"
1150,The Magnetic Fields
1151,Rhiannon Giddens
1152,Indigo Girls
1153,Terry Callier
1154,Adam Torres
1155,Soul Coughing
1156,Eric B. & Rakim
1157,Boogie Down Productions
1158,Soon E Mc
1159,Black Star
1160,Brandy
1161,Zack Hemsey
1162,Dope
1163,Dream Theater
1164,Children Of Bodom
1165,Godsmack
1166,Soil
1167,Killswitch Engage
1168,Amon Amarth
1169,Vision Of Disorder
1170,Queensrÿche
1171,Cinderella
1172,ANGRA
1173,White Lion
1174,Manowar
1175,Winger
1176,Ratt
1177,Powerman 5000
1178,TRUSTcompany
1179,Ill Niño
1180,Finger Eleven
1181,Dry Kill Logic
1182,Danzig
1183,Saxon
1184,Riot
1185,Tygers Of Pan Tang
1186,Michael Schenker Group
1187,Praying Mantis
1188,Celtic Frost
1189,The Rods
1190,Krokus
1191,Shadow of Intent
1192,LANDMVRKS
1193,The Veer Union
1194,Miguel
1195,Jr. Walker & The All Stars
1196,Monophonics
1197,Swamp Dogg
1198,The Main Squeeze
1199,The War and Treaty
1200,Four Tops
1201,Sharon Jones & The Dap-Kings
1202,The Bamboos
1203,Jonny P
1204,Stealth
1205,Fontella Bass
1206,Martha Reeves & The Vandellas
1207,The Spinners
1208,Lee Fields & The Expressions
1209,The Chiffons
1210,The Staple Singers
1211,Sly & The Family Stone
1212,Arthur Conley
1213,Vintage Trouble
1214,St. Paul & The Broken Bones
1215,Ike & Tina Turner
1216,The O'Jays
1217,The Crystals
1218,The Elgins
1219,Bettye Swann
1220,Diplomats of Solid Sound
1221,The Contours
1222,Curtis Harding
1223,The Flirtations
1224,Marlena Shaw
1225,Sam & Dave
1226,The Score
1227,Arlie
1228,COIN
1229,Wet Leg
1230,Windser
1231,Best Coast
1232,Inhaler
1233,Band of Horses
1234,I DONT KNOW HOW BUT THEY FOUND ME
1235,Fontaines D.C.
1236,Blondes
1237,Liily
1238,LØLØ
1239,Betcha
1240,Daphne's Couch
1241,Caspr
1242,LIL DUSTY G
1243,HOKO
1244,Candid
1245,Judah & the Lion
1246,phem
1247,Boston Manor
1248,Ricky Himself
1249,No Love For The Middle Child
1250,Anna Shoemaker
1251,Hirsch
1252,Max Bennett Kelly
1253,The Drives
1254,LYELL
1255,Wilderado
1256,Smallpools
1257,DREAMERS
1258,Foreign Air
1259,Del Water Gap
1260,THE JACKS
1261,Winnetka Bowling League
1262,Troi Irons
1263,Blame My Youth
1264,Hurray For The Riff Raff
1265,The Record Company
1266,The War On Drugs
1267,Bleachers
1268,Beau
1269,DOPE LEMON
1270,Pinegrove
1271,Ceramic Animal
1272,Widowspeak
1273,Christian Lee Hutson
1274,Indigo De Souza
1275,The Cactus Blossoms
1276,Twen
1277,Manchester Orchestra
1278,Eels
1279,Big Thief
1280,NoSo
1281,Hana Vu
1282,Guided By Voices
1283,Genesis Owusu
1284,Teenage Wrist
1285,Dead Poet Society
1286,Slothrust
1287,Tigercub
1288,The Luka State
1289,IRONTOM
1290,Black Honey
1291,cleopatrick
1292,Death From Above 1979
1293,Chappaqua Wrestling
1294,YONAKA
1295,Plague Vendor
1296,Himalayas
1297,KennyHoopla
1298,Kills Birds
1299,PRONOUN
1300,The Pale White
1301,Michigander
1302,White Reaper
1303,Psychedelic Porn Crumpets
1304,The Blue Stones
1305,George Barnett
1306,Foxing
1307,Mondo Cozmo
1308,PÆRISH
1309,Castlecomer
1310,Sego
1311,Quicksand
1312,Mouth Culture
1313,Rad Horror
1314,Valleyheart
1315,COLISION
1316,CRX
1317,New Candys
1318,Hundredth
1319,Superbloom
1320,Softcult
1321,Royal Tusk
1322,The Velveteers
1323,BRKN LOVE
1324,Fangclub
1325,Destroy Boys
1326,Demob Happy
1327,MOSES
1328,Mt. Eddy
1329,Webbed Wing
1330,Dinosaur Pile-Up
1331,Normandie
1332,CAKE
1333,Motion City Soundtrack
1334,The Darkness
1335,Blind Melon
1336,TV On The Radio
1337,The Postal Service
1338,Built To Spill
1339,Empire of the Sun
1340,The Naked And Famous
1341,The Bravery
1342,The Walkmen
1343,The Vines
1344,Sunny Day Real Estate
1345,The Breeders
1346,LCD Soundsystem
1347,The Knife
1348,The Rapture
1349,The Raconteurs
1350,Delicate Steve
1351,Bakar
1352,Faye Webster
1353,Future Islands
1354,The Big Moon
1355,Gengahr
1356,Grimes
1357,Parcels
1358,Rostam
1359,Unknown Mortal Orchestra
1360,Broken Bells
1361,Everything Everything
1362,Methyl Ethel
1363,Maximo Park
1364,Edward Sharpe & The Magnetic Zeros
1365,Gossip
1366,The Pigeon Detectives
1367,Camille Yarbrough
1368,CHIC
1369,Randy Crawford
1370,Average White Band
1371,Gloria Jones
1372,Charles Wright & The Watts 103rd Street Rhythm Band
1373,Jackson Sisters
1374,Frankie Valli & The Four Seasons
1375,Funkadelic
1376,George McCrae
1377,Baby Charles
1378,The Tams
1379,Lee Dorsey
1380,Rufus
1381,Dojo Cuts
1382,Thee Sacred Souls
1383,Gabriels
1384,Fat Night
1385,Mamas Gun
1386,The Marcus King Band
1387,The Suffers
1388,Son Little
1389,Collin Miller & the Brother Nature
1390,Quinn Devlin & The Bridge Street Kings
1391,Carlton Jumel Smith
1392,Jason Joshua & The Beholders
1393,Myles Sanko
1394,Nathaniel Rateliff & The Night Sweats
1395,Joey Dosik
1396,Shuko
1397,Eddie 9V
1398,El Michels Affair
1399,The Tibbs
1400,Izo FitzRoy
1401,William DeVaughn
1402,Johnny Bristol
1403,King Floyd
1404,The Chi-Lites
1405,The Dramatics
1406,Linda Fields
1407,Yvonne Fair
1408,Lyn Collins
1409,"Bobby ""Blue"" Bland"
1410,Mel & Tim
1411,The Undisputed Truth
1412,Denise LaSalle
1413,Phony Ppl
1414,Radiant Children
1415,Berhana
1416,Free Nationals
1417,Busty and the Bass
1418,Otis Kane
1419,Stokley
1420,Shay Lia
1421,KIRBY
1422,Rare Essence
1423,Nia Sultana
1424,Ciscero
1425,Solange
1426,Tank and The Bangas
1427,Mahalia
1428,Terrell Hines
1429,Rayana Jay
1430,Rudey Barnes
1431,Eddie Floyd
1432,Parmalee
1433,HARDY
1434,Old Dominion
1435,Drew Parker
1436,Roman Alexander
1437,Jameson Rodgers
